CPI Results,Accuracy,AUC-ROC,PR-CURVE,,"polynomial kernel: gamma = 0.001, n = 2"
a=0.90,0.552554355,0.561894487,0.561433931,,positive to negative ratio = 1 : 1
a=0.80,0.546649429,0.556275196,0.553900227,,
a=0.60,0.565650876,0.566709991,0.561679897,,
a=0.40,0.620944788,0.655874827,0.673759103,,
a=0.20,0.798471183,0.851924947,0.876804961,,
,,,,,
E3 Ligase ,Accuracy,AUC-ROC,PR-CURVE,,
a=0.90,0.883169335,0.983908581,0.986113323,,
a=0.80,0.903192163,0.988370614,0.990984568,,
a=0.60,0.885827068,0.990503632,0.991391332,,
a=0.40,0.906289022,0.975589727,0.978442694,,
a=0.20,0.978021978,0.995176572,0.992899148,,
